step value prob
1 60 4.155688618966576e-12
2 60 1.227835004050884e-10
3 60 3.97976810262905e-11
4 60 1.103992428989769e-10
1 61 4.079982523268503e-13
2 61 1.145420000964668e-11
3 61 3.709375872501285e-12
4 61 1.079003375501257e-11
1 62 3.371854014605989e-13
2 62 9.47673735603334e-12
3 62 3.026310602567423e-12
4 62 8.699419962190649e-12
1 63 5.592034092801568e-13
2 63 1.580043175372889e-11
3 63 5.062998020989689e-12
4 63 1.491025196863749e-11
1 64 1.74679510983421e-12
2 64 5.050916985771439e-11
3 64 1.602271499154259e-11
4 64 4.678501411504815e-11
1 65 7.515982331573022e-13
2 65 2.151839223626739e-11
3 65 7.030883758240852e-12
4 65 2.09240858049198e-11
1 66 2.236132123208041e-13
2 66 6.507053493620947e-12
3 66 2.053512193886314e-12
4 66 6.088249173942659e-12
1 67 3.81511649059287e-13
2 67 1.123007506314088e-11
3 67 3.661537245084798e-12
4 67 1.034903290382367e-11
1 68 5.683823908529098e-13
2 68 1.615474434872069e-11
3 68 5.169811332630754e-12
4 68 1.552274443411328e-11
1 69 4.016628661521994e-13
2 69 1.11843785589334e-11
3 69 3.58193103424458e-12
4 69 1.090002942180651e-11
1 70 1.636080536341238e-12
2 70 4.676948145698104e-11
3 70 1.497441157160133e-11
4 70 4.235010641606255e-11
1 71 4.966169388763322e-13
2 71 1.357184887853963e-11
3 71 4.293999843929966e-12
4 71 1.304424733634763e-11
1 72 4.369816494198296e-13
2 72 1.272465834966994e-11
3 72 4.063091575772266e-12
4 72 1.218832972301167e-11
1 73 1.852885405307302e-13
2 73 5.1464412179345e-12
3 73 1.655244748500158e-12
4 73 4.814659188447089e-12
1 74 2.776464363855051e-13
2 74 7.658910033365933e-12
3 74 2.409724129791942e-12
4 74 7.360637361461042e-12
1 75 1.042301285712837e-12
2 75 2.918694574123855e-11
3 75 9.413919575391962e-12
4 75 2.700989275200168e-11
1 76 4.120893651697135e-13
2 76 1.188562723614448e-11
